"","grp_code","state","group","emp_rate","unemp_rate"
"957",35,"New Hampshire","Women, 25 to 34 years",75.7,4.1
"958",36,"New Hampshire","Women, 35 to 44 years",78,4.6
"959",37,"New Hampshire","Women, 45 to 54 years",78.4,4.1
"960",38,"New Hampshire","Women, 55 to 64 years",66,2.8
"961",39,"New Hampshire","Women, 65 years and over",17.3,2.8
"981",26,"New Jersey","Men, 16 to 19 years",22.9,26.6
"982",27,"New Jersey","Men, 20 to 24 years",55.5,15.1
"983",28,"New Jersey","Men, 25 to 34 years",81.6,9.9
"984",29,"New Jersey","Men, 35 to 44 years",86.4,5.5
"985",30,"New Jersey","Men, 45 to 54 years",81.5,7.1
"986",31,"New Jersey","Men, 55 to 64 years",69.8,6.3
"987",32,"New Jersey","Men, 65 years and over",27.3,10.1
"988",33,"New Jersey","Women, 16 to 19 years",24.9,22.4
"989",34,"New Jersey","Women, 20 to 24 years",57.4,12.3
"990",35,"New Jersey","Women, 25 to 34 years",69.9,7.1
"991",36,"New Jersey","Women, 35 to 44 years",67.2,7.4
"992",37,"New Jersey","Women, 45 to 54 years",70.9,5.5
"993",38,"New Jersey","Women, 55 to 64 years",63.6,5.6
"994",39,"New Jersey","Women, 65 years and over",16.7,6.5
"1012",26,"New Mexico","Men, 16 to 19 years",24.9,19.1
"1013",27,"New Mexico","Men, 20 to 24 years",66,11.5
"1014",28,"New Mexico","Men, 25 to 34 years",75.4,10.3
"1015",29,"New Mexico","Men, 35 to 44 years",84,6.3
"1016",30,"New Mexico","Men, 45 to 54 years",75.4,5
"1017",31,"New Mexico","Men, 55 to 64 years",58.9,5.9
"1018",32,"New Mexico","Men, 65 years and over",21.3,1.6
"1019",33,"New Mexico","Women, 16 to 19 years",29.2,11.3
"1020",34,"New Mexico","Women, 20 to 24 years",53.1,10.3
"1021",35,"New Mexico","Women, 25 to 34 years",54.4,8.7
"1022",36,"New Mexico","Women, 35 to 44 years",67.8,8.2
"1023",37,"New Mexico","Women, 45 to 54 years",64.2,3
"1024",38,"New Mexico","Women, 55 to 64 years",49.6,5.7
"1025",39,"New Mexico","Women, 65 years and over",16.7,2.3
"1045",26,"New York","Men, 16 to 19 years",19.9,25.5
"1046",27,"New York","Men, 20 to 24 years",55.4,15.9
"1047",28,"New York","Men, 25 to 34 years",80.6,7
"1048",29,"New York","Men, 35 to 44 years",83.4,5.9
"1049",30,"New York","Men, 45 to 54 years",78.4,7.6
"1050",31,"New York","Men, 55 to 64 years",65.7,6.5
"1051",32,"New York","Men, 65 years and over",20.7,7.4
"1052",33,"New York","Women, 16 to 19 years",22.6,18
"1053",34,"New York","Women, 20 to 24 years",53.4,11.6
"1054",35,"New York","Women, 25 to 34 years",68.8,7.4
